year,inflation_rate, 
1960,1.458,
1961,1.0707,
1962,1.1988,
1963,1.2397,
1964,1.2789,
1965,1.5852,
1966,3.0151,
1967,2.7728,
1968,4.2718,
1969,5.4624,
1970,5.8383,
1971,4.2928,
1972,3.2723,
1973,6.1778,
1974,11.0548,
1975,9.1431,
1976,5.7448,
1977,6.5017,
1978,7.631,
1979,11.2545,
1980,13.5492,
1981,10.3347,
1982,6.1314,
1983,3.2124,
1984,4.3005,
1985,3.5456,
1986,1.898,
1987,3.6646,
1988,4.0777,
1989,4.827,
1990,5.398,
1991,4.235,
1992,3.0288,
1993,2.9517,
1994,2.6074,
1995,2.8054,
1996,2.9312,
1997,2.3377,
1998,1.5523,
1999,2.188,
2000,3.3769,
2001,2.8262,
2002,1.586,
2003,2.2701,
2004,2.6772,
2005,3.3927,
2006,3.2259,
2007,2.8527,
2008,3.8391,
2009,-0.3555,
2010,1.64,
2011,3.1568,
2012,2.0693,
2013,1.4648,
2014,1.6222,
2015,0.1186,
2016,1.2616,
2017,2.1301,
2018,2.4426,
2019,1.8122,
2020,1.2336,
2021,4.6979,
